Rank,Gender,Department,Department_Other,H,State,Salary_Dependency_In_Month,Salary_Dependency_In_Month_Other,Research_Funded_By_External_Grants,Deadline_Today,Workload_Today,Workplace,Workplace_Other,RS,WH,TWR,TWT,TWA,TWO,TW_Sum,BR,BR_Other,Email,Proposal,NP,Funding_Agency,Funding_Agency_Other,P_SR,AP,P_AR,P_DWH,P_DWR,P_DWT,P_DWA,P_DWO,P_DW_SUm,PDR,PDT,PDA,PDO,PD_Sum,P_T,P_DS,P_Disrupted_Research,P_Disrupted_Sleep,P_Disrupted_Diet,P_Disrupted_PA,P_Disrupted_IR,About_Proposal_Deadline,Conference,NCP,CR,C_SR,ACP,AR,C_DWH,C_DWR,C_DWT,C_DWA,C_DWO,C_DW_Sum,DDR,CDT,CDA,CDS,CD_Sum,C_T,C_DS,C_Disrupted_Research,C_Disrupted_Sleep,C_Disrupted_Diet,C_Disrupted_PA,C_Disrupted_IR,About_Conf_Deadline,how_mentally_demanding_was,how_physically_demanding_w,how_hurried_or_rushed_was,how_successful_were_you_in,how_hard_did_you_have_to_w,how_insecure_discouraged_i,i_feel_pleast,i_feel_nervous_and_restles,i_feel_satisfied_with_myse,i_wish_i_could_be_as_happy,i_feel_like_a_failure,i_feel_rested,i_am_calm_cool_and_collect,i_feel_that_difficulties_a,i_worry_too_much_over_some,i_am_happy,i_have_disturbing_thoughts,i_lack_self_confidence,i_feel_secure,i_make_decisions_easily,i_feel_inadequate,i_am_content,some_unimportant_thought_r,i_take_disappointments_so,i_am_a_steady_person,i_get_in_a_state_of_tensio,is_talkative,is_reserved,is_curious_about_many_diff,is_full_of_energy,starts_quarrels_with_other,is_a_reliable_worker,can_be_tense,does_a_through_job,gets_nervous_easily,is_ingenious_a_deep_thinke,take_some_time_off_and_get,focus_on_the_problem_and_s,blame_myself_for_having_go,treat_myself_to_a_favorite,feel_anxious_about_not_bei,think_about_how_i_solved_s,visit_a_friend,determine_a_course_of_acti,ciss9,blame_myself_for_being_too,work_to_understand_the_sit,become_very_upset,take_corrective_action_imm,blame_myself_for_not_knowi,spend_time_with_a_special,think_about_the_event_and,wish_that_i_could_change_w,go_out_fora_snack_or_meal,analyze_my_problem_before,focus_on_my_general_inadeq,phone_a_friend
Associate Professor,Male,Engineering,,18,Texas,Three months,,25-1%,No,Standard,Home,,Hands-off,30-40,30,50,10,10,100,Every 1-2 hours,,Answer email as it comes,Yes,2,TRB,trb,10-20%,1-2 months,1-3 months,More,70,20,0,10,100,90,10,0,0,100,2 or more days before deadline,Significantly  more,1,2,2,3,3,,Yes,2,A,30-50%,1-2 months,3-6 months,More,70,10,10,10,100,70,10,10,10,100,1 day before deadline,Significantly  more,3,1,1,2,2,,5,2,4,5,5,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,4,5,3,3,2,4,3,5,4,4,3,5,4,3,4,3,3,4,2,3,4,4,4,3,2,3,4,2,3,4,2
Associate Professor,Female,Engineering,,14,Texas,Three months,,75-50%,Yes,Standard,Home,,Hands-on,40-50,40,30,10,20,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,3,NSF,,< 10%,> 2 months,1-3 months,Significantly more,70,10,10,10,100,80,10,10,0,100,3-6 hours before deadline,Extremely  more,3,2,3,2,4,I submit more proposals to programs with deadlines than those without. ,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,1,3,6,3,2,2,3,2,2,2,2,2,2,3,3,2,2,3,2,2,2,3,1,2,3,2,4,1,2,1,2,5,5,3,5,4,4,4,5,4,4,2,5,4,2,5,3,3,2,4,4,4,4,5,3,2
Assistant Professor,Female,Engineering,,8,Texas,Three months,,25-1%,No,Standard,Home,,Hands-off,> 50,60,20,10,10,100,Every 3-4 hours,,Answer email as it comes,Yes,3,NSF,,< 10%,> 2 months,6-12 months,More,50,10,30,10,100,30,10,50,10,100,3-6 hours before deadline,Significantly  more,3,3,3,3,3,,Yes,3,B,75-90%,1-2 months,3-6 months,More,60,10,20,10,100,40,10,40,10,100,3-6 hours before deadline,Same,2,2,2,2,2,,5,1,5,3,6,5,3,3,2,2,2,2,2,2,2,3,1,2,1,1,3,2,1,3,2,2,4,2,3,3,1,3,1,4,4,5,4,4,4,5,2,4,4,4,4,1,5,3,3,2,4,4,4,4,3,2,4
Assistant Professor,Female,Mathematics,,6,Texas,2,2,Fully funded,No,Light,Home,,Hands-off,40-50,40,30,10,20,100,Every 3-4 hours,,Answer email as it comes,Yes,1,NSF,,75-90%,> 2 months,> 12 months,About the same,40,30,10,20,100,40,30,10,20,100,2 or more days before deadline,Same,1,1,1,1,1,"I start preparing my proposals well in advance of a deadline (> 6 months), because I don't want to increase my stress level and my work load. It much easier to spread things over 6 months. Two months before the deadline my proposal is fully ready, and all I do is tweak things a little before submitting, and submit it a week before the deadline. My strategy of eliminating deadline stress is to act as if the deadline is two months earlier than it actually is.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,2,1,5,6,5,2,3,1,4,4,1,1,3,4,2,1,4,1,4,3,2,2,4,3,2,2,5,1,2,4,1,2,5,4,3,1,5,5,5,5,3,1,5,4,5,5,4,5,1,2,3,4,1,5,4,1
Professor,Male,Computer Science,,34,Texas,Three months,,Fully funded,No,Light,Office,,Hands-off,> 50,70,10,10,10,100,Every 1-2 hours,,Answer email as it comes,Yes,2,NSF,,20-30%,> 2 months,1-3 months,Significantly more,90,10,,,100,100,,,,100,3-6 hours before deadline,Significantly  more,3,2,2,2,3,,Yes,2,B,10-20%,2-4 weeks,3-6 months,About the same,80,10,10,,100,80,10,10,0,100,3-6 hours before deadline,Significantly  more,4,2,2,2,2,,4,2,1,3,3,5,1,3,1,3,3,2,1,4,3,1,2,2,1,2,3,1,3,3,1,3,1,2,1,1,2,5,4,5,5,5,4,4,5,2,4,3,5,3,2,3,4,5,3,3,2,4,4,1,1,4,4
Associate Professor,Male,Mathematics,,9,Texas,Three months,,25-1%,No,Standard,Home,,Hands-on,40-50,50,30,10,10,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,1,NSF,,50-75%,1-2 months,< 1 month,More,60,30,10,0,100,50,30,10,10,100,1 day before deadline,Significantly less,4,3,2,3,2,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,2,3,5,5,2,2,3,2,4,3,2,2,3,3,2,2,3,2,1,3,2,3,3,2,3,4,4,4,2,2,4,4,5,5,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
Assistant Professor,Female,Mathematics,,9,Texas,Three months,,25-1%,Yes,Heavy,Home,,Hands-on,> 50,30,30,30,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,2,NSF,,< 10%,2-4 weeks,> 12 months,Significantly more,90,10,0,0,100,100,,,,100,Minutes before deadline,Extremely  more,3,5,5,5,5,"1/ How much support I get from the department (peers, senior professors, staff). In my case, ZERO.   2/ Whether I *need* the external funding to do good research. In my case (pure math), I do NOT need the external funding, but I feel pressured to apply for grants to meet quota.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,7,1,2,5,7,6,3,3,3,2,3,1,4,2,3,3,1,1,3,4,2,4,1,3,4,4,2,4,1,2,3,4,1,4,4,5,1,5,1,1,4,5,1,5,1,4,5,2,5,1,5,5,4,1,5,5,1
Professor,Female,Biology,,120,Texas,Three months,,100-75%,Yes,Heavy,Office,,Hands-off,> 50,50,20,20,10,100,Every 1-2 hours,,Answer email as it comes,Yes,1,NSF,,> 90%,2-4 weeks,> 12 months,More,70,10,10,10,100,60,20,10,10,100,2 or more days before deadline,Significantly less,2,1,1,1,1,"I like the no deadline system, in some NSF programs now. It helps with the reviewer overload, which is an important consideration. Deadlines seem to incentivize people to submit proposals even when they have nothing good to submit. ",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,1,3,3,5,5,2,3,3,3,1,3,3,2,3,2,1,2,3,3,1,2,3,3,3,3,5,5,1,3,1,2,4,4,3,5,3,4,3,1,2,4,4,4,1,2,3,3,4,1,3,3,4,1,4,1,4
Assistant Professor,Male,Computer Science,,21,Texas,Three months,,100-75%,Yes,Standard,Office,,Hands-on,40-50,60,10,20,10,100,Every hour,,Answer email in batches once  or twice per day,Yes,3,NSF,,10-20%,> 2 months,1-3 months,More,70,10,10,10,100,80,10,10,,100,3-6 hours before deadline,Same,4,4,2,3,3,,Yes,>= 10,A,20-30%,> 2 months,6-12 months,More,70,10,10,10,100,80,10,10,0,100,Minutes before deadline,Same,3,4,2,3,3,,4,1,2,3,4,4,2,2,2,2,2,3,3,2,1,2,1,2,2,2,1,2,2,2,3,1,3,2,1,4,3,2,3,4,3,4,4,4,4,1,2,4,2,4,1,1,4,1,4,2,2,4,2,1,4,3,2
Professor,Male,Computer Science,,66,Virginia,"1 this year, more some years","1 this year, more some years",25-1%,No,Light,Office,,Hands-off,40-50,30,40,20,10,100,Every 1-2 hours,,Answer email as it comes,Yes,2,NIH,,< 10%,> 2 months,1-3 months,Significantly more,50,40,10,0,100,50,40,10,,100,1 day before deadline,Significantly  more,5,3,2,3,4,"To succeed in acquiring funding, I need to spend more time writing proposals than actually doing research or writing papers. The current extreme level of funding competition creates huge waste.",Yes,3,A*,50-75%,> 2 months,1-3 months,More,50,40,10,,100,60,30,10,,100,3-6 hours before deadline,Significantly  more,3,2,1,3,1,I am in a field where conference papers are nearly as relevant and important as journal papers.,3,2,2,6,3,1,3,3,3,1,1,3,4,2,2,3,2,1,4,4,1,3,2,3,4,2,2,4,2,4,3,4,5,5,2,5,4,4,2,4,3,5,1,5,2,1,5,3,3,2,4,5,4,3,4,2,1
Professor,Male,Mathematics,,32,Texas,less than one,less than one,25-1%,No,Standard,Office,,Hands-on,> 50,50,20,10,20,100,Every 1-2 hours,,Answer email as it comes,Yes,1,NSF,,30-50%,1-2 months,1-3 months,Significantly more,70,20,10,0,100,80,10,10,0,100,2 or more days before deadline,Significantly  more,4,2,1,2,2,,Yes,1,A,50-75%,1-2 months,3-6 months,More,60,20,10,10,100,60,20,10,10,100,2 or more days before deadline,Same,4,2,1,1,3,,3,2,3,3,3,6,2,3,1,2,2,2,2,3,2,2,2,2,1,2,2,2,3,3,2,3,1,4,1,4,1,5,4,4,4,4,4,4,2,1,3,4,3,5,2,1,4,2,4,2,3,5,4,1,4,4,1
Assistant Professor,Male,Computer Science,,28,California,Three months,,Fully funded,Yes,Standard,Home,,Hands-off,> 50,60,10,20,10,100,Every 3-4 hours,,Answer email as it comes,Yes,4,NSF,,30-50%,1-2 months,< 1 month,Significantly more,80,0,20,0,100,90,0,10,0,100,1-3 hours before deadline,Significantly  more,4,3,2,4,5,,Yes,>= 10,A*,50-75%,> 2 months,6-12 months,Significantly more,80,10,10,0,100,100,0,0,0,100,Minutes before deadline,Extremely  more,5,4,4,4,5,,6,1,3,5,6,4,3,2,3,2,1,2,3,1,1,4,1,2,3,2,1,3,2,2,4,3,5,5,3,4,5,2,3,3,3,5,5,3,1,5,1,4,3,4,5,2,4,1,3,1,4,2,3,2,4,1,1
Professor,Female,Psychology,,17,Texas,0,0,50-25%,No,Heavy,Home,,Hands-on,> 50,50,20,20,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,2,NIH,,10-20%,> 2 months,> 12 months,More,70,10,10,10,100,50,20,20,10,100,1 day before deadline,Same,2,2,1,2,1,"Perhaps the sort of rolling submission that NIH study section members enjoy - they can submit at any time. Actually, I think deadlines can be helpful, but the problem is with only 2-3 per year, they sometimes do not fall at a good time with respect to workload. quarterly or more frequent submission deadlines would help from the PI perspective, but not so practical from agency perspective.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,6,2,4,5,5,2,4,2,3,1,2,1,4,2,2,3,2,2,3,3,2,3,2,2,4,1,4,3,1,4,1,3,4,4,4,5,2,5,2,3,4,5,2,5,2,2,4,2,3,1,2,4,4,4,4,1,4
Assistant Professor,Female,Psychology,,8,Texas,my salary is hard money but I am on a 9 month appointment.,my salary is hard money but I am on a 9 month appointment.,Not funded,Yes,Standard,Home,,Hands-on,40-50,40,40,10,10,100,Every 1-2 hours,,Answer email as it comes,Yes,2,NIH,,< 10%,> 2 months,6-12 months,Significantly more,80,20,0,0,100,80,0,20,0,100,1-3 hours before deadline,Significantly  more,2,3,1,2,2,"I wrote that day of and leading up to proposal I did ""administration"" and research, but I was referring specially to the micromanaging of our grants office administrator. We do not have a dedicated grants person in our department, and we have to rely on University-wide administrators. They are kind, and hard working, but they have yet to help me submit a proposal in 5 years where I have not found an error on their part of the process in terms of filling out the forms for grant proposals related to institution, forgetting University documents, or uploading for an incorrect PAR number. I would say this contributes to the most stress for me when submitting proposals, because in addition to proofreading and triple checking my own parts related to the science, I also have to spend time quality control checking all of their tasks to catch their errors before submission.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,5,6,7,4,4,4,2,3,1,1,3,1,1,1,3,1,1,3,2,1,3,1,1,3,2,1,2,1,3,2,4,2,5,3,5,2,4,2,4,1,5,4,5,5,1,5,3,4,1,4,5,2,2,4,1,5
Professor,Male,Computer Science,,51,Texas,0.25,0.25,25-1%,No,Standard,Office,,Hands-on,> 50,40,40,0,20,100,Every 1-2 hours,,Answer email as it comes,Yes,2,NSF,,< 10%,1-2 months,3-6 months,Significantly more,60,30,0,10,100,80,20,0,0,100,1 day before deadline,Extremely  more,5,3,1,1,2,No ideas,Yes,>= 10,B,50-75%,1-2 months,6-12 months,Significantly more,60,30,0,10,100,80,20,0,0,100,2 or more days before deadline,Significantly  more,3,1,1,1,2,"I worked some tome ago in a psychology lab, our boss believed that people work best under stress, so maybe it is a good idea to have deadlines",5,1,2,5,4,1,4,2,3,1,1,3,2,2,2,4,1,1,4,4,1,3,1,2,3,1,3,3,4,2,2,4,1,5,2,3,4,5,4,5,4,5,4,5,1,4,4,3,4,2,5,4,2,5,4,1,4
Associate Professor,Male,Biology,,29,Texas,1.5,1.5,50-25%,No,Standard,Home,,Hands-off,> 50,40,20,30,10,100,Every 3-4 hours,,Answer email as it comes,Yes,2,NSF,,< 10%,2-4 weeks,3-6 months,Significantly more,40,30,20,10,100,40,30,20,10,100,1-3 hours before deadline,Significantly  more,3,4,3,4,4,n/a,Yes,3,A,75-90%,1-2 weeks,> 12 months,About the same,20,30,30,20,100,30,30,30,10,100,1-3 hours before deadline,Same,2,2,2,2,2,n/a,5,2,3,3,5,5,1,2,2,2,2,1,2,2,1,2,2,2,2,3,2,2,2,1,3,3,1,1,2,2,5,4,4,4,5,5,4,4,5,2,4,4,1,4,1,4,5,4,4,4,4,4,5,1,4,4,1
Assistant Professor,Male,Engineering,,12,Michigan,Three months,,50-25%,Yes,Standard,Office,,Hands-on,> 50,50,30,10,10,100,Every 3-4 hours,,Answer email as it comes,Yes,3,NSF,,< 10%,2-4 weeks,3-6 months,Significantly more,80,20,0,0,100,100,0,0,0,100,1-3 hours before deadline,Extremely  more,5,5,4,5,5,,Yes,4,A*,20-30%,1-2 months,6-12 months,Significantly more,80,20,0,0,100,90,10,0,0,100,Minutes before deadline,Significantly  more,4,4,4,5,5,,4,2,2,4,6,6,3,2,2,3,2,3,2,2,2,3,1,2,3,2,2,3,1,1,3,2,1,5,1,4,4,5,1,5,2,4,4,4,2,4,3,5,4,5,1,1,4,2,4,1,4,4,4,1,4,1,1
Associate Professor,Male,Computer Science,,34,Texas,Three months,,Not funded,No,Light,Home,,Hands-on,30-40,60,30,10,,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,1,NSF,,30-50%,1-2 months,6-12 months,More,80,20,0,,100,80,20,,,100,1 day before deadline,Same,3,2,1,2,2,"Proposals and managed through univ admin, so I have to get things done early.",Yes,1,A*,75-90%,1-2 months,6-12 months,More,80,20,,,100,80,20,NA,,100,3-6 hours before deadline,Same,3,1,1,1,1,This survey seems silly. I enjoy conference deadlines...much better than open submission journal ,5,1,2,6,4,1,4,1,4,1,1,3,4,1,1,4,1,1,4,3,1,4,1,1,4,1,3,4,1,5,1,4,1,4,1,5,4,4,1,1,1,4,1,4,1,1,5,1,4,1,4,5,2,1,4,4,4
Professor,Female,Mathematics,,26,Arizona,Three months,,Not funded,Yes,Heavy,Home,,Hands-on,> 50,60,30,0,10,100,Every 3-4 hours,,Answer email as it comes,Yes,1,NSF,,20-30%,> 2 months,3-6 months,Significantly more,20,40,30,10,100,60,30,,10,100,2 or more days before deadline,Significantly  more,5,3,1,3,4,"The deadlines do not match the requirements at our institution. We have to prepare everything at least a week before submission, The pressure periods are severe for the internal deadlines. ",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,6,1,4,3,5,4,3,1,3,2,1,3,4,1,1,2,1,2,4,4,1,2,2,1,4,1,3,5,1,4,3,1,1,5,1,4,4,4,1,5,1,1,1,1,1,1,3,4,2,3,1,3,3,3,2,1,2
Associate Professor,Male,Engineering,,23,Arizona,Three months,,Not funded,Yes,Standard,Home,,Hands-on,40-50,20,40,30,10,100,Every 3-4 hours,,Answer email as it comes,Yes,1,DOD,,20-30%,> 2 months,6-12 months,Significantly more,60,30,10,0,100,100,0,0,0,100,1 day before deadline,Significantly  more,3,3,2,4,4,,Yes,1,C,> 90%,> 2 months,> 12 months,About the same,30,40,20,10,100,30,40,20,10,100,1 day before deadline,Same,2,2,2,2,2,,5,2,4,6,5,2,2,2,2,2,1,2,3,3,2,2,2,1,3,3,1,2,2,1,3,2,3,4,4,3,5,4,2,4,1,5,4,4,2,4,1,5,3,4,4,1,5,1,4,1,3,5,2,4,5,4,3
Professor,Male,Biology,,27,New Mexico,4.8,4.8,Fully funded,Yes,Standard,Home,,Hands-on,> 50,60,10,20,10,100,Every 1-2 hours,,Answer email as it comes,Yes,4,DOE,,20-30%,1-2 months,6-12 months,Significantly more,90,0,10,0,100,100,,,,100,1 day before deadline,Significantly  more,3,3,3,3,2,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,6,1,4,3,6,5,3,2,4,1,2,3,3,2,2,4,1,2,3,2,2,4,3,1,4,1,2,5,1,5,5,5,3,5,2,5,4,5,3,5,2,3,3,4,2,3,4,2,4,2,3,3,3,4,3,3,3
Professor,Male,Engineering,,36,California,Three months,,Fully funded,Yes,Standard,Home,,Hands-off,40-50,50,30,20,0,100,Every 1-2 hours,,Answer email as it comes,Yes,2,NSF,,10-20%,2-4 weeks,3-6 months,Significantly more,80,10,10,,100,50,10,40,0,100,3-6 hours before deadline,Significantly  more,3,4,2,3,1,,Yes,3,A,30-50%,1-2 months,6-12 months,Significantly more,90,10,0,,100,90,10,NA,,100,Minutes before deadline,Significantly  more,3,4,2,3,4,,4,2,4,4,4,4,3,3,2,2,2,2,3,2,2,3,2,2,3,1,1,2,2,2,3,2,5,4,4,4,4,1,3,3,2,4,2,4,4,2,3,3,2,3,2,2,3,3,3,2,2,3,3,2,3,3,3
Professor,Male,Physics,,35,California,Three months,,25-1%,No,Standard,Home,,Hands-on,> 50,50,20,20,10,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,1,NSF,,20-30%,1-2 months,1-3 months,More,50,20,20,10,100,20,10,70,0,100,2 or more days before deadline,Same,2,2,2,3,1,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,4,1,1,5,5,1,3,2,3,1,2,3,3,2,2,4,2,2,3,3,2,4,1,1,3,1,1,4,1,3,1,5,3,4,1,5,4,5,2,4,1,4,4,4,2,1,5,2,4,1,5,4,2,4,4,1,4
Assistant Professor,Female,Engineering,,9,California,Three months,,Fully funded,No,Standard,Office,,Hands-off,> 50,30,40,20,10,100,Every 3-4 hours,,Answer email as it comes,Yes,2,State of California,State of California,30-50%,> 2 months,> 12 months,Significantly more,60,30,10,,100,100,,,,100,3-6 hours before deadline,Significantly  more,4,4,4,5,4,It is completely impossible to write proposals during COVID lockdown with no child care.  Since daycare stopped I have submitted zero proposals. ,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,5,2,5,4,7,6,1,4,1,3,2,1,2,4,2,2,2,3,2,2,2,2,2,3,3,2,4,3,1,3,5,2,2,5,4,5,3,5,4,4,3,4,3,5,3,3,4,3,4,2,3,3,4,3,4,4,3
Professor,Male,Other,Neurobiology,30,California,5 months,5 months,Fully funded,No,Light,Office,,Hands-on,40-50,20,20,20,40,100,Every 3-4 hours,,Answer email as it comes,Yes,1,NIH,,30-50%,1-2 months,6-12 months,About the same,20,20,20,40,100,20,20,20,40,100,2 or more days before deadline,Same,2,1,1,1,1,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,2,1,1,6,2,2,4,1,3,1,1,3,3,1,1,3,1,1,3,2,1,3,1,2,4,1,4,4,4,5,3,2,1,4,2,4,4,5,2,2,1,4,1,5,1,1,5,1,3,2,2,4,2,1,5,1,1
Associate Professor,Male,Chemistry,,20,Illinois,Three months,,50-25%,No,Standard,Office,,Hands-off,> 50,40,30,20,10,100,Every 1-2 hours,,Answer email in batches once  or twice per day,Yes,1,NSF,,20-30%,1-2 months,6-12 months,Significantly more,90,10,0,0,100,100,0,0,0,100,1 day before deadline,Significantly  more,4,5,4,5,4,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,6,3,4,2,5,6,2,3,2,3,2,2,2,4,3,2,3,3,2,1,3,2,3,4,3,4,5,5,3,2,1,1,2,5,5,5,5,4,5,3,5,5,2,5,2,4,4,4,1,4,3,5,5,1,5,5,1
Associate Professor,Male,Engineering,,23,Illinois,Three months,,Fully funded,No,Standard,Office,,Hands-on,> 50,40,30,10,20,100,Every 3-4 hours,,Answer email as it comes,Yes,4,NSF,,< 10%,> 2 months,1-3 months,Significantly more,70,20,0,10,100,90,10,0,0,100,3-6 hours before deadline,Significantly  more,3,2,1,5,3,,Yes,2,B,30-50%,> 2 months,3-6 months,More,60,20,10,10,100,50,30,10,10,100,3-6 hours before deadline,Same,1,1,1,1,1,,6,2,5,5,7,6,3,3,3,2,1,2,3,1,1,4,1,2,3,4,1,4,1,2,4,1,1,5,2,3,5,5,3,3,4,5,5,5,4,3,3,4,2,5,1,1,5,3,4,2,4,5,4,3,4,3,3
Associate Professor,Male,Computer Science,,18,Illinois,Three months,,50-25%,No,Standard,Office,,Hands-on,40-50,20,30,30,20,100,Every hour,,Answer email as it comes,Yes,1,NSF,,20-30%,1-2 months,3-6 months,Significantly more,90,10,0,0,100,100,0,0,0,100,1-3 hours before deadline,Extremely  more,5,5,5,5,3,Without deadlines it's easier to let things slip,Yes,2,A*,10-20%,> 2 months,> 12 months,More,60,20,10,10,100,70,20,10,0,100,Minutes before deadline,Significantly  more,1,2,2,2,1,,2,1,1,5,4,2,3,3,3,1,1,3,4,2,1,4,1,1,4,3,2,4,2,1,4,2,4,5,5,4,4,5,1,4,3,5,4,5,1,2,2,4,3,4,3,1,5,2,3,2,4,4,1,1,4,5,3
Associate Professor,Female,Biology,,25,Illinois,Three months,,25-1%,Yes,Heavy,Home,,Hands-off,40-50,60,30,,10,100,Every 1-2 hours,,Answer email as it comes,Yes,1,NSF,,10-20%,> 2 months,6-12 months,Significantly more,90,10,,,100,90,10,,,100,2 or more days before deadline,Significantly  more,4,4,1,2,4,,No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,6,1,5,4,4,5,3,3,2,2,1,2,2,2,3,2,1,2,2,2,1,3,3,2,3,3,4,2,2,2,2,3,3,5,4,4,4,4,1,1,4,3,2,4,1,1,5,4,3,1,4,3,2,4,5,1,1
Associate Professor,Female,Engineering,,10,Maryland,Three months,,Fully funded,No,Standard,Office,,Hands-off,> 50,60,30,0,10,100,Every 1-2 hours,,Answer email as it comes,Yes,3,NIH,,10-20%,2-4 weeks,1-3 months,More,80,10,0,10,100,60,30,0,10,100,3-6 hours before deadline,Same,2,4,2,3,3,"I actually like deadlines, because they require me to spend focused time on a proposal. I have tried starting proposals earlier, and I tend to still work on them until the deadline, so I stopped starting too early to allow me to be more efficient. Large proposals with multiple PIs are far more stressful than proposals with just me or with one another PI.",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,3,2,3,5,5,5,4,2,4,2,1,2,3,2,2,4,1,2,4,4,2,4,2,1,4,1,4,5,2,5,1,4,2,4,2,4,4,5,1,1,2,4,4,5,1,4,5,4,5,1,3,5,2,1,4,2,4
Professor,Female,Computer Science,,40,Minnesota,Three months,,75-50%,No,Heavy,Home,,Hands-off,40-50,40,30,10,20,100,Every 3-4 hours,,Answer email as it comes,Yes,2,NSF,,10-20%,2-4 weeks,1-3 months,Significantly more,60,30,0,10,100,70,30,,,100,2 or more days before deadline,Significantly  more,4,2,1,1,2,"I do not think proposal deadlines are the problem.  In fact, with no deadlines I would submit fewer proposals, because I will never be satisfied of what I wrote.",Yes,4,A*,30-50%,> 2 months,6-12 months,Significantly more,60,30,0,10,100,60,30,10,0,100,1 day before deadline,Same,3,2,1,1,1,Not all conferences cause the same level of stress.,4,2,2,6,4,1,4,2,3,1,1,2,4,1,1,4,1,1,4,3,1,4,1,2,4,1,5,5,4,4,4,4,2,4,2,4,1,5,2,1,1,3,1,4,1,1,4,1,4,1,3,4,2,1,4,1,1
Associate Professor,Male,Engineering,,28,Maryland,Three months,,Fully funded,No,Light,Home,,Hands-on,40-50,50,20,10,20,100,Every 1-2 hours,,Answer email as it comes,Yes,1,DOD,,50-75%,2-4 weeks,6-12 months,More,70,20,0,10,100,50,20,10,20,100,1 day before deadline,Same,1,2,1,1,1,"The most stressful part is the necessary reliance on other people. For example, will the research administration people get their budgets and paperwork done in time? I often have to remind them multiple times. Will my co-PIs get their parts done in time?",No,,,,,,,,,,,NA,,NA,NA,,NA,,,NA,NA,NA,NA,NA,,2,1,2,2,2,2,3,1,4,1,1,2,2,1,2,4,1,1,4,2,1,4,2,1,4,1,3,4,2,5,5,4,4,5,2,5,1,5,4,2,1,5,1,4,1,1,4,2,5,1,4,5,5,1,4,1,4
Associate Professor,Male,Engineering,,31,Virginia,Three months,,100-75%,Yes,Standard,Office,,Hands-on,> 50,40,40,10,10,100,Every 3-4 hours,,Answer email in batches once  or twice per day,Yes,4,NSF,,10-20%,2-4 weeks,6-12 months,Significantly more,90,10,,,100,70,30,,,100,1 day before deadline,Significantly  more,4,3,3,4,2,"One of the stressful components associated with the proposal preparation is a steady increase in number of required supporting documents aggravated by a frequent change in preparation requirements. Many of these docs have little to no value, just a typical way who bureaucracy demonstrates that they do something.  NSF is particularly bad in this aspect. The preparation of all these docs now takes more time than the preparation of  the proposal itself.",Yes,3,A,> 90%,1-2 months,6-12 months,More,60,30,10,,100,70,30,NA,,100,2 or more days before deadline,Significantly  more,3,2,2,3,1,,5,5,3,4,5,5,2,3,2,1,2,2,3,2,3,1,2,2,2,1,1,2,2,2,3,1,4,3,4,2,2,3,4,4,5,5,4,3,4,3,4,4,2,4,2,3,3,4,3,3,2,3,4,4,3,2,3
